Id,selection1_name,selection1_url,selection1_selection2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Score
1,How is IIIT Nagpur?,https://www.quora.com/How-is-IIIT-Nagpur-1,Fuck with update 1 and 2. College has to do nothing with the internship bagged by Wazurkar. Also the thing is that all the meetings with dean are on paper. ground reality is that the so called Dean hardly shows his face(once in a month).He can only give you assurance but what about the implementatio…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,How is IIIT Nagpur?,https://www.quora.com/How-is-IIIT-Nagpur-1,"IIIT Nagapur have to work really hard if they want to succeed. They does not seem to be in right direction. Disclaimer: I have more than 10 years of experience in Indian academia, and seen many institutes closely. Yet I am writing it anonymously as I do not want to make enemies. * Failure to attract go…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,How is IIIT Nagpur's ECE?,https://www.quora.com/How-is-IIIT-Nagpurs-ECE,"Being an ECE student, I will tell you the reality of IIIT Nagpur’s ECE branch. The College is completely CSE oriented! Yes, CSE students are being considered superior to ECE students and are being more supported by the faculties. 1. As CSE students can do anything in their B.Tech with help of a single PC…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,How is IIIT Nagpur?,https://www.quora.com/How-is-IIIT-Nagpur-1,"In one line, it’s abysmal. Let me explain with recent example of COVID-19. A college should be compassionate about its students right? We don’t do that here - IIIT N Administration. As pointed out by another answer here they follow IITs and VNIT everytime but when it comes to exams they think they are s…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Is Google expected to visit IIIT Nagpur for its first placement?,https://www.quora.com/Is-Google-expected-to-visit-IIIT-Nagpur-for-its-first-placement,Thank you so much for considering our college eligible to call Google for its placement season. With the utmost distress let me you its certainly not going to happen in near future. One of the answers tells about Morgan Stanley picking students.Well just out of curiosity let me tell you Morgan Stanley…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Why is there a significant difference in the fees of IIIT Pune and IIIT Nagpur?,https://www.quora.com/Why-is-there-a-significant-difference-in-the-fees-of-IIIT-Pune-and-IIIT-Nagpur,"The tuition fee of both colleges will be more or less the same. It is the hostel fee that makes the difference. See, IIIT Nagpur is currently running is the office building of BSNL RTTC Nagpur. It is running on rent(you can say). The college has to pay huge amount of money as rent for using the buildi…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Is Google expected to visit IIIT Nagpur for its first placement?,https://www.quora.com/Is-Google-expected-to-visit-IIIT-Nagpur-for-its-first-placement,"I bow down to the one who has asked this question !! Thanks to you that you have at least shown us this dream by asking this question otherwise we don’t even dare to see the dreams of being placed at GOOGLE. It is not because we don’t have higher aims and dedication to go there, it is because it requi…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Are there any medical facilities in the campus of IIIT Nagpur?,https://www.quora.com/Are-there-any-medical-facilities-in-the-campus-of-IIIT-Nagpur,"They put it up on website, but there is NO medical facility present on campus. If you become sick, you will have three options(obvious): 1. Consult Locally Use your own expenses to find a clinic nearby to see a doctor. He/she will prescribe you the medicines. Buy on your own. 2. VNIT VNIT’s tag as a mentor…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,How is IIIT Nagpur?,https://www.quora.com/How-is-IIIT-Nagpur-1,"I am student of this institute. There is false information everywhere. Thing of yesterday, one teacher of 6th semester displayed marks and grade for 3 hours of online exam and then removed the file. Later said so you need lifetime to see the marks, no transparency and denied to show checked answer s…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,How is IIIT Nagpur?,https://www.quora.com/How-is-IIIT-Nagpur-1,"Hello! I am a student of IIIT Nagpur and hence I believe, It is really important for students to know the reality of IIIT Nagpur. I know, you have done really hard work just to get the seat in the Prime Engineering Colleges in India. I will put very straight forward points about this college. 1. The fees…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,How is the Convocation Hall at IIIT Nagpur?,https://www.quora.com/How-is-the-Convocation-Hall-at-IIIT-Nagpur,"Sorry to disappoint you but there is NO CONVOCATION HALL at IIIT Nagpur! We have a SEMINAR HALL with the capacity of handling 100 people only( current strength of college is 220!). This hall also acts as classroom. For Tech fest and Cultural fest, HALL of BSNL RTTC is booked on payment basis. HOPING! O…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,How is IIIT Nagpur?,https://www.quora.com/How-is-IIIT-Nagpur-1,If there would an award of WORST IIIT then IIIT Nagpur would be its winner! IIIT Nagpur is undoubtedly the worst IIIT among 25 IIITs present across the nation. I am just bowing down before you and requesting you through this answer that please do not even think to consider this college name while fill…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
